id,nombre,apellido,email,escuela,,,
1,Estefania,Arocas,estefania@gmail.com,UVM,,,
2,Queralt,Viso,queralt@gmail.com,UTC,,,
3,Joan,Ayala,joan@gmail.com,IPN,,,
4,Joan,Baez,joan@gmail.com,UNAM,,,
5,Marc,Bastardes,marc@gmail.com,UNITEC,,,
6,Josep,Anguera,josep@gmail.com,UNITEC,,,
7,Esther,Pascual,esther@gmail.com,UNAM,,,
8,Laura,Vallés,laura@gmail.com,UAM,,,
9,Raquel,Raya,raquel@gmail.com,UVM,,,
10,Joan,Andreu,joan@gmail.com,UTC,,,
11,Maria,Baraldés,maria@gmail.com,UTC,,,
12,Adria,Berengueras,adria@gmail.com,IPN,,,
13,Gerard,López,gerard@gmail.com,UNAM,,,
14,Eliot,Arnau,eliot@gmail.com,UNITEC,,,
15,Jordi,Raya,jordi@gmail.com,UNEVE,,,
16,Luis,Zambudio,luis@gmail.com,IPN,,,
17,Laura,Bidault,laura@gmail.com,UVM,,,
18,Jordi,Biosca,jordi@gmail.com,UNEVE,,,
19,Dounya,Zafra,dounya@gmail.com,IPN,,,
20,Julio,Aleu,julio@gmail.com,UTC,,,
21,Andreu,Badia,andreu@gmail.com,UTC,,,
22,Ramon,Morales,ramon@gmail.com,UTC,,,
23,David,Blanco,david@gmail.com,UNAM,,,
24,Aran,Alvarez,aran@gmail.com,IPN,,,
25,Gemma,Garcia,gemma@gmail.com,UVM,,,
26,Ivan,Libori,ivan@gmail.com,UNAM,,,
27,David,Bidault,david@gmail.com,UNITEC,,,
28,Xavier,Benitez,xavier@gmail.com,UNAM,,,
29,Mario,Pascual,mario@gmail.com,UNAM,,,
30,Jesus,Ayala,jesus@gmail.com,UAM,,,
31,Gemma,Listan,gemma@gmail.com,UAM,,,
32,Silvia,Rasero,silvia@gmail.com,UAM,,,
33,Albert,Arnalot,albert@gmail.com,UNAM,,,
34,Maria,Moliner,maria@gmail.com,UTC,,,
35,Berta,Galobart,berta@gmail.com,UNAM,,,
36,Berta,López,berta@gmail.com,UVM,,,
37,Mireia,Sánchez,mireia@gmail.com,UNAM,,,
38,Gemma,Alavedra,gemma@gmail.com,UAM,,,
39,Maria Isabel,Aligué,maria isabel@gmail.com,UNITEC,,,
40,Toni,Mas,toni@gmail.com,UAM,,,
41,Alejandro,Aloy,alejandro@gmail.com,UNITEC,,,
42,Joan Martí,Asensio,joan martí@gmail.com,UAM,,,
43,Ingrid,Bidault,ingrid@gmail.com,UAM,,,
44,Oliver,Aloy,oliver@gmail.com,UNEVE,,,
45,Sandra,Altimiras,sandra@gmail.com,UNEVE,,,
46,Jordi,Belmonte,jordi@gmail.com,UNITEC,,,
47,Marc,Bajona,marc@gmail.com,UVM,,,
48,Jordina,Aguilar,jordina@gmail.com,UNAM,,,
49,Maria José,Barriga,maria josé@gmail.com,UNAM,,,
50,Raquel,Avila,raquel@gmail.com,IPN,,,
51,Enric,Parramon,enric@gmail.com,IPN,,,
52,Marta,Aguilar,marta@gmail.com,UNEVE,,,
53,Carla,Ayala,carla@gmail.com,UTC,,,
54,Maria Noelia,Alvarez,maria noelia@gmail.com,IPN,,,
55,Cristina,Alins,cristina@gmail.com,IPN,,,
56,Carlos,Acuña,carlos@gmail.com,UTC,,,
57,David,Algué,david@gmail.com,UAM,,,
58,Cristian,Badia,cristian@gmail.com,UVM,,,
59,Julio,Benitez,julio@gmail.com,UAM,,,
60,Sergi,Torruella,sergi@gmail.com,UVM,,,
61,Aleix,Alberich,aleix@gmail.com,UNEVE,,,
62,Verònica,Armencot,verònica@gmail.com,UVM,,,
63,Mariona,Aligué,mariona@gmail.com,UNAM,,,
64,Marc,Barriga,marc@gmail.com,UNITEC,,,
65,Gemma,Portella,gemma@gmail.com,UTC,,,
66,Ricard,Aguilera,ricard@gmail.com,UTC,,,
67,Juan,Rodriguez,juan@gmail.com,UNAM,,,
68,Marta,Aguilar,marta@gmail.com,IPN,,,
69,Natàlia,Barriga,natàlia@gmail.com,UAM,,,
70,Marta,Barcons,marta@gmail.com,UNEVE,,,
71,Laura,Aguilera,laura@gmail.com,UNEVE,,,
72,Joan,Aleu,joan@gmail.com,UNITEC,,,
